JOBCD,JOBCD_NM,JOBCLS,JOBCD_LVL,PPH_FLAG,J_FAMILY_CD,J_FAMILY_NM,J_FUNCTION_CD,J_FUNCTION_NM,J_JOB_NAME,EMP_CLS_KPI,OH_TYPE
B842,DMP Hot Knife Lead,B84,2,I,B00,Bottom,B80,DMP,DMP Hot Knife,Office Worker,-
B846,DMP Hot Knife Associate,B84,6,D,B00,Bottom,B80,DMP,DMP Hot Knife,Office Worker,-
C112,Maternity Holiday Lead,C11,2,O,C00,Common,C10,Common,Maternity holiday,Office Worker,SG&A
C116,Maternity holiday Associate,C11,6,O,C00,Common,C10,Common,Maternity holiday,Office Worker,SG&A
C126,Not assigned Associate,C12,6,O,C00,Common,C10,Common,Not assigned,Office Worker,OH Indirect
C136,Long term Sickness Associate,C13,6,O,C00,Common,C10,Common,Long term Sickness,Office Worker,SG&A
E112,IT Label Lead,E11,2,I,E00,IT,E10,IT Label,IT Label,Office Worker,-
E116,IT Label Associate,E11,6,I,E00,IT,E10,IT Label,IT Label,Production Worker,-
E211,IT Planning Executive,E21,1,O,E00,IT,E20,IT Planning,IT Planning,Office Worker,-
E212,IT Planning Lead,E21,2,O,E00,IT,E20,IT Planning,IT Planning,Office Worker,SG&A
E213,IT Planning Senior,E21,3,O,E00,IT,E20,IT Planning,IT Planning,Office Worker,-
E214,IT Planning L2,E21,4,O,E00,IT,E20,IT Planning,IT Planning,Office Worker,SG&A
E215,IT Planning L1,E21,5,O,E00,IT,E20,IT Planning,IT Planning,Office Worker,-
E216,IT Planning Associate,E21,6,O,E00,IT,E20,IT Planning,IT Planning,Office Worker,-
E311,IT Hardware Executive,E31,1,O,E00,IT,E30,IT Maintenance,IT Hardware,Office Worker,-
E312,IT Hardware Lead,E31,2,O,E00,IT,E30,IT Maintenance,IT Hardware,Office Worker,SG&A
E314,IT Hardware L2,E31,4,O,E00,IT,E30,IT Maintenance,IT Hardware,Office Worker,SG&A
E315,IT Hardware L1,E31,5,O,E00,IT,E30,IT Maintenance,IT Hardware,Office Worker,SG&A
E316,IT Hardware Associate,E31,6,O,E00,IT,E30,IT Maintenance,IT Hardware,Office Worker,SG&A
E321,IT software Executive,E32,1,O,E00,IT,E30,IT Maintenance,IT software,Office Worker,-
E322,IT software Lead,E32,2,O,E00,IT,E30,IT Maintenance,IT software,Office Worker,SG&A
E323,IT software Senior,E32,3,O,E00,IT,E30,IT Maintenance,IT software,Office Worker,-
E324,IT software L2,E32,4,O,E00,IT,E30,IT Maintenance,IT software,Office Worker,-
E325,IT software L1,E32,5,O,E00,IT,E30,IT Maintenance,IT software,Office Worker,SG&A
E326,IT software Associate,E32,6,O,E00,IT,E30,IT Maintenance,IT software,Office Worker,SG&A
F111,Upper Material Executive,F11,1,O,F00,Material,F10,Upper Material,Upper Material,Office Worker,-
F112,Upper Material Lead,F11,2,O,F00,Material,F10,Upper Material,Upper Material,Office Worker,OH Indirect
F113,Upper Material Senior,F11,3,O,F00,Material,F10,Upper Material,Upper Material,Office Worker,OH Indirect
F114,Upper Material L2,F11,4,O,F00,Material,F10,Upper Material,Upper Material,Office Worker,-
F115,Upper Material L1,F11,5,O,F00,Material,F10,Upper Material,Upper Material,Office Worker,OH Indirect
F116,Upper Material Associate,F11,6,O,F00,Material,F10,Upper Material,Upper Material,Office Worker,OH Indirect
F211,Bottom Material Executive,F21,1,O,F00,Material,F20,Bottom Material,Bottom Material,Office Worker,-
F212,Bottom Material Lead,F21,2,O,F00,Material,F20,Bottom Material,Bottom Material,Office Worker,OH Indirect
F213,Bottom Material Senior,F21,3,O,F00,Material,F20,Bottom Material,Bottom Material,Office Worker,-
F214,Bottom Material L2,F21,4,O,F00,Material,F20,Bottom Material,Bottom Material,Office Worker,OH Indirect
F215,Bottom Material L1,F21,5,O,F00,Material,F20,Bottom Material,Bottom Material,Office Worker,-
F216,Bottom Material Associate,F21,6,O,F00,Material,F20,Bottom Material,Bottom Material,Office Worker,OH Indirect
F312,Material Admin Lead,F31,2,O,F00,Material,F30,Material Admin,Material Admin,Office Worker,OH Indirect
F313,Material Admin Senior,F31,3,O,F00,Material,F30,Material Admin,Material Admin,Office Worker,OH Indirect
F314,Material Admin L2,F31,4,O,F00,Material,F30,Material Admin,Material Admin,Office Worker,OH Indirect
F315,Material Admin L1,F31,5,O,F00,Material,F30,Material Admin,Material Admin,Office Worker,OH Indirect
F316,Material Admin Associate,F31,6,O,F00,Material,F30,Material Admin,Material Admin,Office Worker,OH Indirect
F411,Material Driver Executive,F41,1,O,F00,Material,F40,Material Driver,Material Driver,Office Worker,-
F412,Material Driver Lead,F41,2,O,F00,Material,F40,Material Driver,Material Driver,Office Worker,OH Indirect
F413,Material Driver Senior,F41,3,O,F00,Material,F40,Material Driver,Material Driver,Office Worker,-
F414,Material Driver L2,F41,4,O,F00,Material,F40,Material Driver,Material Driver,Office Worker,-
F415,Material Driver L1,F41,5,O,F00,Material,F40,Material Driver,Material Driver,Office Worker,-
F416,Material Driver Associate,F41,6,O,F00,Material,F40,Material Driver,Material Driver,Production Worker,OH Indirect
F511,Material Packing Executive,F51,1,O,F00,Material,F50,Material Packing,Material Packing,Office Worker,-
F512,Material Packing Lead,F51,2,O,F00,Material,F50,Material Packing,Material Packing,Office Worker,OH Indirect
F513,Material Packing Senior,F51,3,O,F00,Material,F50,Material Packing,Material Packing,Office Worker,-
F514,Material Packing L2,F51,4,O,F00,Material,F50,Material Packing,Material Packing,Office Worker,OH Indirect
F515,Material Packing L1,F51,5,O,F00,Material,F50,Material Packing,Material Packing,Office Worker,OH Indirect
F516,Material Packing Associate,F51,6,O,F00,Material,F50,Material Packing,Material Packing,Office Worker,OH Indirect
F611,Material handler Executive,F61,1,O,F00,Material,F60,Material handler,Material handler,Office Worker,-
F612,Material handler Lead,F61,2,I,F00,Material,F60,Material handler,Material handler,Office Worker,-
F613,Material handler Senior,F61,3,I,F00,Material,F60,Material handler,Material handler,Office Worker,-
F614,Material handler L2,F61,4,I,F00,Material,F60,Material handler,Material handler,Office Worker,-
F615,Material handler L1,F61,5,I,F00,Material,F60,Material handler,Material handler,Office Worker,-
F616,Material handler Associate,F61,6,I,F00,Material,F60,Material handler,Material handler,Production Worker,-
I111,Industrial Engineer Executive,I11,1,O,I00,Industrial Engineer,I10,Industrial Engineer,Industrial Engineer,Office Worker,-
I112,Industrial Engineer Lead,I11,2,O,I00,Industrial Engineer,I10,Industrial Engineer,Industrial Engineer,Office Worker,OH Indirect
I113,Industrial Engineer Senior,I11,3,O,I00,Industrial Engineer,I10,Industrial Engineer,Industrial Engineer,Office Worker,OH Indirect
I114,Industrial Engineer L2,I11,4,O,I00,Industrial Engineer,I10,Industrial Engineer,Industrial Engineer,Office Worker,OH Indirect
I115,Industrial Engineer L1,I11,5,O,I00,Industrial Engineer,I10,Industrial Engineer,Industrial Engineer,Office Worker,OH Indirect
I116,Industrial Engineer Associate,I11,6,O,I00,Industrial Engineer,I10,Industrial Engineer,Industrial Engineer,Office Worker,OH Indirect
J112,Mold shop Lead,J11,2,O,J00,Jig/Tooling,J10,Mold,Mold shop,Office Worker,OH Indirect
J116,Mold shop Associate,J11,6,O,J00,Jig/Tooling,J10,Mold,Mold shop,Office Worker,OH Indirect
J122,Mold control Lead,J12,2,I,J00,Jig/Tooling,J10,Mold,Mold control,Office Worker,-
J126,Mold control Associate,J12,6,I,J00,Jig/Tooling,J10,Mold,Mold control,Production Worker,-
J212,Tooling control Lead,J21,2,I,J00,Jig/Tooling,J20,Tooling control,Tooling control,Office Worker,-
J216,Tooling control Associate,J21,6,I,J00,Jig/Tooling,J20,Tooling control,Tooling control,Production Worker,-
J312,Bottom tooling Lead,J31,2,O,J00,Jig/Tooling,J30,Bottom tooling,Bottom tooling,Office Worker,-
J412,Dark Room Lead,J41,2,I,J00,Jig/Tooling,J40,Dark Room,Dark Room,Office Worker,-
J416,Dark Room Associate,J41,6,I,J00,Jig/Tooling,J40,Dark Room,Dark Room,Production Worker,-
J512,Last Lead,J51,2,O,J00,Jig/Tooling,J50,Last,Last,Office Worker,OH Indirect
J516,Last Associate,J51,6,O,J00,Jig/Tooling,J50,Last,Last,Office Worker,OH Indirect
L112,CE Lab Lead,L11,2,O,L00,CE Lap,L10,CE Lab,CE Lab,Office Worker,OH Indirect
L116,CE Lab Associate,L11,6,O,L00,CE Lap,L10,CE Lab,CE Lab,Production Worker,OH Indirect
L222,Chemical Delivery Lead,L22,2,O,L00,CE Lap,L20,Chemical Delivery,Chemical Delivery,Office Worker,OH Indirect
L226,Chemical Delivery Associate,L22,6,I,L00,CE Lap,L20,Chemical Delivery,Chemical Delivery,Production Worker,-
L332,Chemical mixing Lead,L33,2,I,L00,CE Lap,L30,Chemical mixing,Chemical mixing,Office Worker,-
L336,Chemical mixing Associate,L33,6,D,L00,CE Lap,L30,Chemical mixing,Chemical mixing,Production Worker,-
L442,CE Control Lead,L44,2,O,L00,CE Lap,L40,CE Control,CE Control,Office Worker,OH Indirect
L446,CE Control Associate,L44,6,O,L00,CE Lap,L40,CE Control,CE Control,Office Worker,OH Indirect
L511,CE Managing Executive,L51,6,O,L00,CE Lap,L50,CE Managing,CE Managing,Office Worker,-
L512,CE Managing Lead,L51,2,O,L00,CE Lap,L50,CE Managing,CE Managing,Office Worker,OH Indirect
L513,CE Managing Senior,L51,3,O,L00,CE Lap,L50,CE Managing,CE Managing,Office Worker,OH Indirect
L514,CE Managing L2,L51,4,O,L00,CE Lap,L50,CE Managing,CE Managing,Office Worker,OH Indirect
L515,CE Managing L1,L51,5,O,L00,CE Lap,L50,CE Managing,CE Managing,Office Worker,OH Indirect
L516,CE Managing Associate,L51,6,O,L00,CE Lap,L50,CE Managing,CE Managing,Office Worker,OH Indirect
M112,Maintenance Lead,M11,2,O,M00,MEP,M10,MEP,Maintenance,Office Worker,OH Indirect
M113,Maintenance Senior,M11,3,O,M00,MEP,M10,MEP,Maintenance,Office Worker,OH Indirect
M114,Maintenance L2,M11,4,O,M00,MEP,M10,MEP,Maintenance,Office Worker,OH Indirect
M115,Maintenance L1,M11,5,O,M00,MEP,M10,MEP,Maintenance,Office Worker,OH Indirect
M116,Maintenance Associate,M11,6,O,M00,MEP,M10,MEP,Maintenance,Production Worker,OH Indirect
M121,WOODEN TOOL MAKER Executive,M12,1,O,M00,MEP,M10,MEP,WOODEN TOOL MAKER,Office Worker,-
M122,WOODEN TOOL MAKER Lead,M12,2,O,M00,MEP,M10,MEP,WOODEN TOOL MAKER,Office Worker,OH Indirect
M123,WOODEN TOOL MAKER Senior,M12,3,O,M00,MEP,M10,MEP,WOODEN TOOL MAKER,Office Worker,-
M124,WOODEN TOOL MAKER L2,M12,4,O,M00,MEP,M10,MEP,WOODEN TOOL MAKER,Office Worker,-
M125,WOODEN TOOL MAKER L1,M12,5,O,M00,MEP,M10,MEP,WOODEN TOOL MAKER,Office Worker,-
M126,WOODEN TOOL MAKER Associate,M12,6,O,M00,MEP,M10,MEP,WOODEN TOOL MAKER,Office Worker,OH Indirect
M131,Electrical Executive,M13,1,O,M00,MEP,M10,MEP,Electrical,Office Worker,-
M132,Electrical Lead,M13,2,O,M00,MEP,M10,MEP,Electrical,Office Worker,OH Indirect
M133,Electrical Senior,M13,3,O,M00,MEP,M10,MEP,Electrical,Office Worker,-
M135,Electrical L1,M13,5,O,M00,MEP,M10,MEP,Electrical,Office Worker,OH Indirect
M136,Electrical Associate,M13,6,O,M00,MEP,M10,MEP,Electrical,Office Worker,OH Indirect
M141,Civil Maintenance Executive,M14,1,O,M00,MEP,M10,MEP,Civil Maintenance,Office Worker,-
M143,Civil Maintenance Senior,M14,3,O,M00,MEP,M10,MEP,Civil Maintenance,Office Worker,-
M144,Civil Maintenance L2,M14,4,O,M00,MEP,M10,MEP,Civil Maintenance,Office Worker,OH Indirect
M145,Civil Maintenance L1,M14,5,O,M00,MEP,M10,MEP,Civil Maintenance,Office Worker,OH Indirect
M146,Civil Maintenance Associate,M14,6,O,M00,MEP,M10,MEP,Civil Maintenance,Office Worker,OH Indirect
P111,Planning Executive,P11,1,O,P00,Planning&Management,P10,Planning,Planning,Office Worker,-
P112,Planning Lead,P11,2,O,P00,Planning&Management,P10,Planning,Planning,Office Worker,OH Indirect
P113,Planning Senior,P11,3,O,P00,Planning&Management,P10,Planning,Planning,Office Worker,OH Indirect
P114,Planning L2,P11,4,O,P00,Planning&Management,P10,Planning,Planning,Office Worker,OH Indirect
P116,Planning Associate,P11,6,O,P00,Planning&Management,P10,Planning,Planning,Office Worker,OH Indirect
P212,Line Managing Lead,P21,2,I,P00,Planning&Management,P20,Production Management,Line Managing,Office Worker,-
P221,Production Management Exec,P22,1,O,P00,Planning&Management,P20,Production Management,Production Management,Office Worker,-
P222,Production Management Lead,P22,2,O,P00,Planning&Management,P20,Production Management,Production Management,Office Worker,OH Indirect
P223,Production Management Senior,P22,3,O,P00,Planning&Management,P20,Production Management,Production Management,Office Worker,OH Indirect
P224,Production Management L2,P22,4,O,P00,Planning&Management,P20,Production Management,Production Management,Office Worker,OH Indirect
P225,Production Management L1,P22,5,O,P00,Planning&Management,P20,Production Management,Production Management,Office Worker,OH Indirect
P226,Production Management Ass,P22,6,O,P00,Planning&Management,P20,Production Management,Production Management,Office Worker,OH Indirect
P312,JIT Lead,P31,2,O,P00,Planning&Management,P30,JIT,JIT,Office Worker,OH Indirect
P316,JIT Associate,P31,6,O,P00,Planning&Management,P30,JIT,JIT,Office Worker,OH Indirect
Q111,QC Executive,Q11,1,O,Q00,QA,Q10,QA,QC,Office Worker,-
Q112,QC Lead,Q11,2,I,Q00,QA,Q10,QA,QC,Office Worker,-
Q113,QC Senior,Q11,3,I,Q00,QA,Q10,QA,QC,Office Worker,-
Q114,QC L2,Q11,4,I,Q00,QA,Q10,QA,QC,Office Worker,-
Q115,QC L1,Q11,5,I,Q00,QA,Q10,QA,QC,Office Worker,-
Q116,QC Associate,Q11,6,I,Q00,QA,Q10,QA,QC,Production Worker,-
Q121,MA Executive,Q12,1,O,Q00,QA,Q10,QA,MA,Office Worker,-
Q122,MA Lead,Q12,2,I,Q00,QA,Q10,QA,MA,Office Worker,-
Q123,MA Senior,Q12,3,I,Q00,QA,Q10,QA,MA,Office Worker,-
Q124,MA L2,Q12,4,I,Q00,QA,Q10,QA,MA,Office Worker,-
Q125,MA L1,Q12,5,I,Q00,QA,Q10,QA,MA,Office Worker,-
Q126,MA Associate,Q12,6,I,Q00,QA,Q10,QA,MA,Production Worker,-
Q131,Reinspection Executive,Q13,1,O,Q00,QA,Q10,QA,Reinspection,Office Worker,-
Q132,Reinspection Lead,Q13,2,I,Q00,QA,Q10,QA,Reinspection,Office Worker,-
Q133,Reinspection Senior,Q13,3,I,Q00,QA,Q10,QA,Reinspection,Office Worker,-
Q134,Reinspection L2,Q13,4,I,Q00,QA,Q10,QA,Reinspection,Office Worker,-
Q135,Reinspection L1,Q13,5,I,Q00,QA,Q10,QA,Reinspection,Office Worker,-
Q136,Reinspection Associate,Q13,6,I,Q00,QA,Q10,QA,Reinspection,Office Worker,-
Q211,QA Trainer Executive,Q21,1,O,Q00,QA,Q20,QA Trainer,QA Trainer,Office Worker,-
Q212,QA Trainer Lead,Q21,2,O,Q00,QA,Q20,QA Trainer,QA Trainer,Office Worker,OH Indirect
Q213,QA Trainer Senior,Q21,3,O,Q00,QA,Q20,QA Trainer,QA Trainer,Office Worker,-
Q214,QA Trainer L2,Q21,4,O,Q00,QA,Q20,QA Trainer,QA Trainer,Office Worker,OH Indirect
Q215,QA Trainer L1,Q21,5,O,Q00,QA,Q20,QA Trainer,QA Trainer,Office Worker,-
Q216,QA Trainer Associate,Q21,6,O,Q00,QA,Q20,QA Trainer,QA Trainer,Office Worker,OH Indirect
Q311,NPI Executive,Q31,1,O,Q00,QA,Q30,CQM,NPI,Office Worker,-
Q313,NPI Senior,Q31,3,O,Q00,QA,Q30,CQM,NPI,Office Worker,-
Q314,NPI L2,Q31,4,O,Q00,QA,Q30,CQM,NPI,Office Worker,OH Indirect
Q315,NPI L1,Q31,5,O,Q00,QA,Q30,CQM,NPI,Office Worker,OH Indirect
Q316,NPI Associate,Q31,6,O,Q00,QA,Q30,CQM,NPI,Office Worker,OH Indirect
Q411,QA Report Executive,Q41,1,O,Q00,QA,Q40,QA Report,QA Report,Office Worker,-
Q412,QA Report Lead,Q41,2,O,Q00,QA,Q40,QA Report,QA Report,Office Worker,OH Indirect
Q413,QA Report Senior,Q41,3,O,Q00,QA,Q40,QA Report,QA Report,Office Worker,OH Indirect
Q414,QA Report L2,Q41,4,O,Q00,QA,Q40,QA Report,QA Report,Office Worker,OH Indirect
Q416,QA Report Associate,Q41,6,O,Q00,QA,Q40,QA Report,QA Report,Office Worker,OH Indirect
Q511,QA Room Executive,Q51,1,O,Q00,QA,Q50,QA Room,QA Room,Office Worker,-
Q512,QA Room Lead,Q51,2,O,Q00,QA,Q50,QA Room,QA Room,Office Worker,-
Q513,QA Room Senior,Q51,3,O,Q00,QA,Q50,QA Room,QA Room,Office Worker,-
Q514,QA Room L2,Q51,4,O,Q00,QA,Q50,QA Room,QA Room,Office Worker,-
Q515,QA Room L1,Q51,5,O,Q00,QA,Q50,QA Room,QA Room,Office Worker,-
Q516,QA Room Associate,Q51,6,O,Q00,QA,Q50,QA Room,QA Room,Office Worker,OH Indirect
Q611,MQA Executive,Q61,1,O,Q00,QA,Q60,MQA,MQA,Office Worker,-
Q612,MQA Lead,Q61,2,O,Q00,QA,Q60,MQA,MQA,Office Worker,OH Indirect
Q613,MQA Senior,Q61,3,O,Q00,QA,Q60,MQA,MQA,Office Worker,-
Q614,MQA L2,Q61,4,O,Q00,QA,Q60,MQA,MQA,Office Worker,-
Q615,MQA L1,Q61,5,O,Q00,QA,Q60,MQA,MQA,Office Worker,OH Indirect
Q616,MQA Associate,Q61,6,O,Q00,QA,Q60,MQA,MQA,Office Worker,OH Indirect
R112,Relief Lead,R11,2,I,R00,Relief,R10,Relief,Relief,Office Worker,-
R116,Relief Associate,R11,6,D,R00,Relief,R10,Relief,Relief,Production Worker,-
S112,Outsole Degreasing Lead,S11,2,I,S00,Stockfit,S10,Stockfit,Outsole Degreasing,Office Worker,-
S116,Outsole Degreasing Associate,S11,6,D,S00,Stockfit,S10,Stockfit,Outsole Degreasing,Production Worker,-
S122,Stockfit Lead,S12,2,I,S00,Stockfit,S10,Stockfit,Stockfit,Office Worker,-
S126,Stockfit Associate,S12,6,D,S00,Stockfit,S10,Stockfit,Stockfit,Production Worker,-
T111,Trading Executive,T11,1,O,T00,Trading,T10,Trading,Trading,Office Worker,-
T112,Trading Lead,T11,2,O,T00,Trading,T10,Trading,Trading,Office Worker,-
T113,Trading Senior,T11,3,O,T00,Trading,T10,Trading,Trading,Office Worker,-
T114,Trading L2,T11,4,O,T00,Trading,T10,Trading,Trading,Office Worker,SG&A
T116,Trading Associate,T11,6,O,T00,Trading,T10,Trading,Trading,Office Worker,OH Indirect
U112,Lamination Lead,U11,2,I,U00,Upper,U10,Upper,Lamination,Office Worker,-
U116,Lamination Associate,U11,6,D,U00,Upper,U10,Upper,Lamination,Office Worker,-
U122,Material Layering Lead,U12,2,I,U00,Upper,U10,Upper,Material Layering,Office Worker,-
U126,Material Layering Associate,U12,6,D,U00,Upper,U10,Upper,Material Layering,Office Worker,-
U132,Cutting Lead,U13,2,I,U00,Upper,U10,Upper,Cutting,Office Worker,-
U136,Cutting Associate,U13,6,D,U00,Upper,U10,Upper,Cutting,Production Worker,-
U142,No-sew Lead,U14,2,I,U00,Upper,U10,Upper,No-sew,Office Worker,-
U146,No-sew Associate,U14,6,D,U00,Upper,U10,Upper,No-sew,Production Worker,-
U152,HF Welding Lead,U15,2,I,U00,Upper,U10,Upper,HF Welding,Office Worker,-
U156,HF Welding Associate,U15,6,D,U00,Upper,U10,Upper,HF Welding,Production Worker,-
U162,Screen Lead,U16,2,I,U00,Upper,U10,Upper,Screen,Office Worker,-
U172,Upper pad print Lead,U17,2,I,U00,Upper,U10,Upper,Upper pad print,Office Worker,-
U176,Upper pad print Associate,U17,6,D,U00,Upper,U10,Upper,Upper pad print,Office Worker,-
U182,Embroidery Lead,U18,2,I,U00,Upper,U10,Upper,Embroidery,Office Worker,-
U186,Embroidery Associate,U18,6,D,U00,Upper,U10,Upper,Embroidery,Production Worker,-
U192,Compression Molding Lead,U19,2,I,U00,Upper,U10,Upper,Compression Molding,Office Worker,-
U196,Compression Molding Associate,U19,6,D,U00,Upper,U10,Upper,Compression Molding,Office Worker,-
U1A2,Laser Cutting Lead,U1A,2,I,U00,Upper,U10,Upper,Laser Cutting,Office Worker,-
U1B2,Upper Laser Etching Lead,U1B,2,I,U00,Upper,U10,Upper,Upper Laser Etching,Office Worker,-
U1B6,Upper Laser Etching Associate,U1B,6,D,U00,Upper,U10,Upper,Upper Laser Etching,Office Worker,-
U1C2,Knit Spray Lead,U1C,2,I,U00,Upper,U10,Upper,Knit Spray,Office Worker,-
U1C6,Knit Spray Associate,U1C,6,D,U00,Upper,U10,Upper,Knit Spray,Office Worker,-
U1D2,Weaving Lead,U1D,2,I,U00,Upper,U10,Upper,Weaving,Office Worker,-
U1D6,Weaving Associate,U1D,6,D,U00,Upper,U10,Upper,Weaving,Office Worker,-
U1E2,Stitching Lead,U1E,2,I,U00,Upper,U10,Upper,Stitching,Office Worker,-
U1E6,Stitching Associate,U1E,6,D,U00,Upper,U10,Upper,Stitching,Production Worker,-
U1F2,DYE SUBLIMATION Lead,U1F,2,I,U00,Upper,U10,Upper,DYE SUBLIMATION,Office Worker,-
U1F6,DYE SUBLIMATION Associate,U1F,6,D,U00,Upper,U10,Upper,DYE SUBLIMATION,Office Worker,-
U1G2,Flywire Lead,U1G,2,I,U00,Upper,U10,Upper,Flywire,Office Worker,-
U1G6,Flywire Associate,U1G,6,D,U00,Upper,U10,Upper,Flywire,Production Worker,-
U212,EVA skiving Lead,U21,2,I,U00,Upper,U20,Sockliner,EVA skyving,Office Worker,-
U216,EVA skiving Associate,U21,6,D,U00,Upper,U20,Sockliner,EVA skyving,Office Worker,-
U222,EVA Lamination Lead,U22,2,I,U00,Upper,U20,Sockliner,EVA Lamination,Office Worker,-
U226,EVA Lamination Associate,U22,6,D,U00,Upper,U20,Sockliner,EVA Lamination,Production Worker,-
U232,Sockliner Cutting Lead,U23,2,I,U00,Upper,U20,Sockliner,Sockliner Cutting,Office Worker,-
U242,Sockliner Press Lead,U24,2,I,U00,Upper,U20,Sockliner,Sockliner Press,Office Worker,-
U246,Sockliner Press Associate,U24,6,D,U00,Upper,U20,Sockliner,Sockliner Press,Production Worker,-
U312,Strobel Lead,U31,2,I,U00,Upper,U30,Strobel,Strobel,Office Worker,-
U316,Strobel Associate,U31,6,D,U00,Upper,U30,Strobel,Strobel,Production Worker,-
W112,Shipping goods Lead,W11,2,O,W00,Warehouse,W10,Warehouse,Shipping goods,Office Worker,OH Indirect
W116,Shipping goods Associate,W11,6,O,W00,Warehouse,W10,Warehouse,Shipping goods,Office Worker,OH Indirect
W122,Warehouse admin Lead,W12,2,I,W00,Warehouse,W10,Warehouse,Warehoues admin,Office Worker,-
W126,Warehouse admin Associate,W12,6,I,W00,Warehouse,W10,Warehouse,Warehoues admin,Production Worker,-
W132,Warehouse worker Lead,W13,2,I,W00,Warehouse,W10,Warehouse,Warehouse woker,Office Worker,-
W136,Warehouse worker Associate,W13,6,I,W00,Warehouse,W10,Warehouse,Warehouse woker,Production Worker,-
X111,Product Manager Executive,X11,1,O,X00,Development,X10,Development,Product Manager,Office Worker,-
X112,Product Manager Lead,X11,2,O,X00,Development,X10,Development,Product Manager,Office Worker,SOH
X113,Product Manager Senior,X11,3,O,X00,Development,X10,Development,Product Manager,Office Worker,SOH
X114,Product Manager L2,X11,4,O,X00,Development,X10,Development,Product Manager,Office Worker,SOH
X115,Product Manager L1,X11,5,O,X00,Development,X10,Development,Product Manager,Office Worker,SOH
X116,Product Manager Associate,X11,6,O,X00,Development,X10,Development,Product Manager,Office Worker,SOH
X121,FDPA Executive,X12,1,O,X00,Development,X10,Development,FDPA,Office Worker,-
X122,FDPA Lead,X12,2,O,X00,Development,X10,Development,FDPA,Office Worker,SOH
X123,FDPA Senior,X12,3,O,X00,Development,X10,Development,FDPA,Office Worker,-
X124,FDPA L2,X12,4,O,X00,Development,X10,Development,FDPA,Office Worker,SOH
X125,FDPA L1,X12,5,O,X00,Development,X10,Development,FDPA,Office Worker,-
X126,FDPA Associate,X12,6,O,X00,Development,X10,Development,FDPA,Office Worker,SOH
X211,PMM Executive,X21,1,O,X00,Development,X20,PMM,PMM,Office Worker,-
X212,PMM Lead,X21,2,O,X00,Development,X20,PMM,PMM,Office Worker,SOH
X213,PMM Senior,X21,3,O,X00,Development,X20,PMM,PMM,Office Worker,-
X214,PMM L2,X21,4,O,X00,Development,X20,PMM,PMM,Office Worker,SOH
X215,PMM L1,X21,5,O,X00,Development,X20,PMM,PMM,Office Worker,SOH
X216,PMM Associate,X21,6,O,X00,Development,X20,PMM,PMM,Office Worker,SOH
X221,Sample Material Executive,X22,1,O,X00,Development,X20,PMM,Sample Material,Office Worker,-
X222,Sample Material Lead,X22,2,O,X00,Development,X20,PMM,Sample Material,Office Worker,SOH
X223,Sample Material Senior,X22,3,O,X00,Development,X20,PMM,Sample Material,Office Worker,-
X224,Sample Material L2,X22,4,O,X00,Development,X20,PMM,Sample Material,Office Worker,-
X225,Sample Material L1,X22,5,O,X00,Development,X20,PMM,Sample Material,Office Worker,-
X226,Sample Material Associate,X22,6,O,X00,Development,X20,PMM,Sample Material,Office Worker,SOH
X312,Pattern Engineer Lead,X31,2,O,X00,Development,X30,Engineer,Pettern Engineer,Office Worker,SOH
X313,Pattern Engineer Senior,X31,3,O,X00,Development,X30,Engineer,Pettern Engineer,Office Worker,-
X314,Pattern Engineer L2,X31,4,O,X00,Development,X30,Engineer,Pettern Engineer,Office Worker,SOH
X315,Pattern Engineer L1,X31,5,O,X00,Development,X30,Engineer,Pettern Engineer,Office Worker,SOH
X316,Pattern Engineer Associate,X31,6,O,X00,Development,X30,Engineer,Pettern Engineer,Office Worker,SOH
X321,Tooling Engineer Executive,X32,1,O,X00,Development,X30,Engineer,Tooling Engineer,Office Worker,-
X322,Tooling Engineer Lead,X32,2,O,X00,Development,X30,Engineer,Tooling Engineer,Office Worker,SOH
X323,Tooling Engineer Senior,X32,3,O,X00,Development,X30,Engineer,Tooling Engineer,Office Worker,SOH
X324,Tooling Engineer L2,X32,4,O,X00,Development,X30,Engineer,Tooling Engineer,Office Worker,SOH
X325,Tooling Engineer L1,X32,5,O,X00,Development,X30,Engineer,Tooling Engineer,Office Worker,SOH
X326,Tooling Engineer Associate,X32,6,O,X00,Development,X30,Engineer,Tooling Engineer,Production Worker,SOH
X331,Chemical Engineer Executive,X33,1,O,X00,Development,X30,Engineer,Cemical Engineer,Office Worker,-
X332,Chemical Engineer Lead,X33,2,O,X00,Development,X30,Engineer,Cemical Engineer,Office Worker,OH Indirect
X333,Chemical Engineer Senior,X33,3,O,X00,Development,X30,Engineer,Cemical Engineer,Office Worker,-
X334,Chemical Engineer L2,X33,4,O,X00,Development,X30,Engineer,Cemical Engineer,Office Worker,-
X335,Chemical Engineer L1,X33,5,O,X00,Development,X30,Engineer,Cemical Engineer,Office Worker,SOH
X336,Chemical Engineer Associate,X33,6,O,X00,Development,X30,Engineer,Cemical Engineer,Office Worker,OH Indirect
X341,Costing Executive,X34,1,O,X00,Development,X30,Engineer,Costing,Office Worker,-
X342,Costing Lead,X34,2,O,X00,Development,X30,Engineer,Costing,Office Worker,-
X343,Costing Senior,X34,3,O,X00,Development,X30,Engineer,Costing,Office Worker,-
